scenario_group,scenario_name,eta,soc_min,soc_max,soc_initial,power_limit_kw,cost,grid_kwh,throughput_kwh,equivalent_cycles,peak_kw,min_soc,max_soc,max_charge_kwh,max_discharge_kwh,balance_error,soc_error,power_violations,curtailment_violations,soc_lower_bound_violations,soc_upper_bound_violations,terminal_soc_error,simultaneous_periods,simultaneous_kwh,delta_cost,cost_change_pct
充放电效率,eta=0.75,0.75,1200.0,10800.0,6000.0,5000.0,39902.70719137833,65444.06132777776,35364.60319444444,1.4735251331018517,8466.968299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,4775.758602088696,13.595711537394529
充放电效率,eta=0.80,0.8,1200.0,10800.0,6000.0,5000.0,38223.65161906146,64053.86823333333,38776.4142,1.615683925,8466.968299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,3096.703029771823,8.815747322601263
充放电效率,eta=0.85,0.85,1200.0,10800.0,6000.0,5000.0,36603.40648002707,61728.97512460496,38404.00769627163,1.6001669873446511,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,1476.457890737438,4.203205658426069
充放电效率,eta=0.90,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
充放电效率,eta=0.95,0.95,1200.0,10800.0,6000.0,5000.0,33767.03262075282,57472.64310064635,37672.830200646364,1.5697012583602652,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-1359.915968536814,-3.871432114520356
充放电效率,eta=1.00,1.0,1200.0,10800.0,6000.0,5000.0,32377.088240581666,55541.97243333333,63320.984933333326,2.6383743722222217,9612.167800000003,1200.0,10800.0,833.3333333333333,775.9447166666666,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-2749.860348707967,-7.82834962654972
PV预测,PV=80%,0.9,1200.0,10800.0,6000.0,5000.0,42269.09213531412,70886.3258863,40465.75388703334,1.686073078626389,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,1.1368683772161603e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,7142.143546024483,20.3323768014457
PV预测,PV=90%,0.9,1200.0,10800.0,6000.0,5000.0,38422.56108838365,65240.4518501646,39536.07625683127,1.647336510701303,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,3295.612499094015,9.382006213027177
PV预测,PV=95%,0.9,1200.0,10800.0,6000.0,5000.0,36697.187485855306,62418.12221933127,39077.023604331276,1.6282093168471365,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,1570.238896565672,4.470183035040068
PV预测,PV=100%,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
PV预测,PV=105%,0.9,1200.0,10800.0,6000.0,5000.0,33630.57996634062,56711.75880806584,37571.10508473251,1.5654627118638547,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-1496.3686229490122,-4.25988787254143
PV预测,PV=110%,0.9,1200.0,10800.0,6000.0,5000.0,32211.93345657375,53824.39923440329,36492.55666106995,1.520523194211248,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,1.1368683772161603e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-2915.015132715882,-8.298515099614098
PV预测,PV=120%,0.9,1200.0,10800.0,6000.0,5000.0,30873.958969548345,51345.409324855966,34691.11415485596,1.445463089785665,8439.846599999999,1200.0,10800.0,833.3333333333333,715.6530333333333,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-4252.989619741289,-12.107483828065968
负载预测,load=80%,0.9,1200.0,10800.0,6000.0,5000.0,22159.430749852654,38759.43559090535,31014.148114238684,1.2922561714266119,7737.584879999999,1200.0,10800.0,833.3333333333333,572.5224266666667,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-12967.51783943698,-36.91615229963594
负载预测,load=90%,0.9,1200.0,10800.0,6000.0,5000.0,28073.627584719536,48069.106477407404,34576.85729407408,1.4407023872530866,8099.87279,1200.0,10800.0,833.3333333333333,644.08773,3.410605131648481e-12,2.7284841053187847e-12,0,0,0,0,0.0,0,0.0,-7053.321004570098,-20.079515266295257
负载预测,load=95%,0.9,1200.0,10800.0,6000.0,5000.0,31552.184280896938,53832.56760192386,36598.53888525719,1.5249391202190496,8285.885934999998,1200.0,10800.0,833.3333333333333,679.8703816666666,1.1368683772161603e-13,2.2737367544323206e-12,0,0,0,0,0.0,0,0.0,-3574.764308392696,-10.176700373805478
负载预测,load=100%,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
负载预测,load=105%,0.9,1200.0,10800.0,6000.0,5000.0,38834.16769585597,65197.34555822016,39097.264331553495,1.6290526804813956,8631.768665,1200.0,10800.0,833.3333333333333,751.4356849999999,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,3707.2191065663355,10.553774966085964
负载预测,load=110%,0.9,1200.0,10800.0,6000.0,5000.0,42745.80854907041,70793.08703390947,39521.195583909466,1.6467164826628944,8804.71003,1200.0,10800.0,833.3333333333333,787.2183366666667,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,7618.859959780777,21.68950126827641
负载预测,load=120%,0.9,1200.0,10800.0,6000.0,5000.0,50929.885338800355,82111.47082382714,41577.95555049383,1.7324148146039098,9150.59276,1200.0,10800.0,833.3333333333333,833.3333333333333,1.0231815394945443e-12,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,15802.936749510722,44.988071506812034
最大充放电功率,Pmax=3000 kW,0.9,1200.0,10800.0,6000.0,3000.0,35788.44007000732,59215.28815245473,34993.165534788066,1.4580485639495027,6505.2294999999995,1200.0,10800.0,500.0,500.0,1.1368683772161603e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,661.4914807176829,1.883145298078566
最大充放电功率,Pmax=4000 kW,0.9,1200.0,10800.0,6000.0,4000.0,35247.87089961685,59482.32668827161,37537.05895493827,1.564044123122428,7466.9682999999995,1200.0,10800.0,666.6666666666666,666.6666666666666,1.1368683772161603e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,120.92231032721611,0.3442437079891587
最大充放电功率,Pmax=5000 kW,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
最大充放电功率,Pmax=6000 kW,0.9,1200.0,10800.0,6000.0,6000.0,35083.29348008142,59482.69899835391,37540.60569835392,1.5641919040980798,9458.8273,1200.0,10800.0,1000.0,715.6530333333333,1.1368683772161603e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-43.655109208215436,-0.12427811398774921
最大充放电功率,Pmax=7000 kW,0.9,1200.0,10800.0,6000.0,7000.0,35044.58715974132,59557.19687012141,38250.29595045473,1.5937623312689473,10444.3031,1200.0,10800.0,1166.6666666666665,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-82.36142954831303,-0.23446793090768325
最大充放电功率,Pmax=8000 kW,0.9,1200.0,10800.0,6000.0,8000.0,35011.951550283455,59616.67522695473,38816.90556028807,1.6173710650120028,11444.303100000001,1200.0,10800.0,1333.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,-114.99703900617897,-0.3273755439185574
储能可用SOC区间,2400-9600 kWh,0.9,2400.0,9600.0,6000.0,5000.0,37169.58872190512,58603.3418936214,29163.572226954733,1.2151488427897805,8444.303100000001,2400.0,9600.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,0.0,0,0,0,0,0.0,0,0.0,2042.6401326154883,5.815022979930283
储能可用SOC区间,1800-10200 kWh,0.9,1800.0,10200.0,6000.0,5000.0,36033.586117693456,59110.008560288064,33990.2388936214,1.4162599539008915,8458.827299999999,1800.0,10200.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,4.547473508864641e-13,0,0,0,0,0.0,0,0.0,906.6375284038222,2.5810312731811274
储能可用SOC区间,1200-10800 kWh,0.9,1200.0,10800.0,6000.0,5000.0,35126.948589289634,59482.69899835391,37540.60569835392,1.5641919040980798,8458.827299999999,1200.0,10800.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,9.094947017729282e-13,0,0,0,0,0.0,0,0.0,0.0,0.0
储能可用SOC区间,600-11400 kWh,0.9,600.0,11400.0,6000.0,5000.0,34339.27089214296,59736.03233168724,39953.939031687245,1.6647474596536351,8466.968299999999,600.0,11400.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-787.6776971466752,-2.242374384283529
储能可用SOC区间,0-12000 kWh,0.9,0.0,12000.0,6000.0,5000.0,33556.750449611296,59989.36566502058,42367.27236502057,1.7653030152091906,8466.968299999999,-0.0,12000.0,833.3333333333333,715.6530333333333,2.2737367544323206e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,-1570.1981396783376,-4.470067007633843
组合情景,"load+5%,PV-5%",0.9,1200.0,10800.0,6000.0,5000.0,40580.22525385369,68016.76944203704,39528.63592037037,1.6470264966820987,8631.768665,1200.0,10800.0,833.3333333333333,751.4356849999999,3.751665644813329e-12,3.637978807091713e-12,0,0,0,0,0.0,0,0.0,5453.276664564059,15.52448158342677
组合情景,"load+10%,PV-10%",0.9,1200.0,10800.0,6000.0,5000.0,46572.76464220299,76459.62275796296,40647.70297796297,1.6936542907484569,8804.71003,1200.0,10800.0,833.3333333333333,787.2183366666667,1.1368683772161603e-13,1.8189894035458565e-12,0,0,0,0,0.0,0,0.0,11445.816052913353,32.58414554232939
组合情景,"load+5%,PV-5%,eta=0.85",0.85,1200.0,10800.0,6000.0,5000.0,42257.956885181295,70203.96301019528,39332.64125852444,1.6388600524385184,8631.768665,1200.0,10800.0,833.3333333333333,751.4356849999999,1.1368683772161603e-13,4.547473508864641e-13,0,0,0,0,0.0,0,0.0,7131.008295891661,20.3006767802938
组合情景,"load-5%,PV+5%",0.9,1200.0,10800.0,6000.0,5000.0,30142.461986241095,50946.75285590534,35534.706977572016,1.4806127907321673,8285.885934999998,1200.0,10800.0,833.3333333333333,679.8703816666666,1.1368683772161603e-13,3.637978807091713e-12,0,0,0,0,0.0,0,0.0,-4984.486603048539,-14.18992199216624
