时段,时间,电价,负载电量_kWh,光伏电量_kWh,计划购电量_kWh,充电量_kWh,放电量_kWh,弃光或富余电量_kWh,时段初储电量_kWh,时段末储电量_kWh,购电费用
72,12:00,0.4432,919.9101166666666,1266.84055,486.40290000000005,833.3333333333333,0.0,1.1368683772161603e-13,5380.0,6130.0,215.57376528
73,12:10,0.4411,915.7984499999999,1268.7193333333332,480.41245000000004,833.3333333333333,0.0,1.1368683772161603e-13,6130.0,6880.0,211.909931695
74,12:20,0.4551,919.0754,1267.1087333333332,485.29999999999995,833.3333333333333,0.0,0.0,6880.0,7630.0,220.86003
75,12:30,0.4463,914.3048333333332,1259.0312,488.6069666666667,833.3333333333333,0.0,1.1368683772161603e-13,7630.0,8380.0,218.06528922333334
76,12:40,0.4113,910.3937999999999,1245.4564,498.2707333333333,833.3333333333333,0.0,1.1368683772161603e-13,8380.0,9130.0,204.93875261999997
77,12:50,0.5682,927.6844333333333,1232.2361999999998,6.559344444444605,311.1111111111111,0.0,0.0,9130.0,9410.0,3.727019513333425
78,13:00,0.8279,954.2924666666665,1218.79965,2.1594833333333554,266.6666666666667,0.0,5.684341886080802e-14,9410.0,9650.0,1.7878362516666848
79,13:10,0.8636,956.5826166666667,1199.0901666666666,1.9368944444445333,244.44444444444443,0.0,2.842170943040401e-14,9650.0,9870.0,1.6727020422222991
80,13:20,0.8416,952.4472666666667,1175.5228499999998,0.0,222.22222222222223,0.0,0.853361111110928,9870.0,10070.0,0.0
81,13:30,0.8618,952.9750833333333,1151.7343999999998,1.2406833333334362,200.0,0.0,0.0,10070.0,10250.0,1.0692208966667553
82,13:40,0.8623,951.3747666666666,1128.7345833333334,0.4179611111110262,177.77777777777777,0.0,5.684341886080802e-14,10250.0,10410.0,0.36040786611103787
83,13:50,0.9026,949.4863666666666,1101.2266666666665,3.815255555555723,155.55555555555554,0.0,0.0,10410.0,10550.0,3.443649664444595
84,14:00,0.9754,948.7163833333334,1068.7514166666665,2.187188888889068,122.22222222222221,0.0,0.0,10550.0,10660.0,2.133384042222397
85,14:10,1.0002,947.8548499999999,1035.6693,1.0744388888888352,88.88888888888889,0.0,2.842170943040401e-14,10660.0,10740.0,1.0746537766666129
86,14:20,0.9978,946.4936666666667,1000.1185333333333,1.9306888888889944,55.55555555555556,0.0,0.0,10740.0,10790.0,1.9264413733334387
87,14:30,1.0271,944.9084666666665,961.1636,0.0,11.11111111111111,0.0,5.144022222222336,10790.0,10800.0,0.0
88,14:40,1.0906,944.0324666666667,920.2511,5.781366666666713,0.0,18.0,0.0,10800.0,10780.0,6.305158486666717
89,14:50,0.9376,945.4501833333334,878.1301666666666,4.320016666666788,0.0,63.0,0.0,10780.0,10710.0,4.050447626666781
90,15:00,0.6694,947.0423999999999,834.9525333333332,112.0898666666667,0.0,0.0,0.0,10710.0,10710.0,75.03295674666668
91,15:10,0.66,944.8365833333334,790.5747333333334,254.26184999999987,100.0,0.0,0.0,10710.0,10800.0,167.81282099999993
92,15:20,0.7217,942.7275166666666,745.204,197.52351666666664,0.0,0.0,0.0,10800.0,10800.0,142.55272197833332
93,15:30,0.7308,942.8477833333333,698.03375,244.8140333333332,0.0,0.0,0.0,10800.0,10800.0,178.91009555999992
94,15:40,0.7534,943.7668,648.2321833333333,295.5346166666667,0.0,0.0,0.0,10800.0,10800.0,222.65578019666668
95,15:50,0.7823,944.8766,599.0990999999999,345.77750000000015,0.0,0.0,0.0,10800.0,10800.0,270.50173825000013
96,16:00,0.8055,945.57945,550.6479666666667,394.9314833333333,0.0,0.0,0.0,10800.0,10800.0,318.11730982499995
97,16:10,0.8271,945.1691000000001,499.73744999999997,445.4316500000001,0.0,0.0,0.0,10800.0,10800.0,368.41651771500005
98,16:20,0.8519,943.5987666666666,447.90218333333337,495.69658333333325,0.0,0.0,0.0,10800.0,10800.0,422.2839193416666
99,16:30,0.8791,944.3153666666667,397.1963166666667,547.11905,0.0,0.0,0.0,10800.0,10800.0,480.972356855
100,16:40,0.9024,948.1728666666666,348.18743333333333,599.9854333333333,0.0,0.0,0.0,10800.0,10800.0,541.42685504
101,16:50,0.9163,933.9435666666666,298.5138166666667,635.4297499999999,0.0,0.0,0.0,10800.0,10800.0,582.2442799249999
102,17:00,0.9264,911.1187333333334,250.28805,660.8306833333334,0.0,0.0,0.0,10800.0,10800.0,612.19354504
103,17:10,0.9462,911.2323166666666,209.19538333333333,702.0369333333333,0.0,0.0,0.0,10800.0,10800.0,664.26734632
104,17:20,0.9742,910.7878333333333,172.72205,738.0657833333333,0.0,0.0,0.0,10800.0,10800.0,719.0236861233333
105,17:30,0.9862,915.4076333333334,139.46291666666667,775.9447166666666,0.0,0.0,0.0,10800.0,10800.0,765.2366795766666
106,17:40,0.976,936.9551333333334,110.87188333333333,826.08325,0.0,0.0,0.0,10800.0,10800.0,806.257252
107,17:50,1.0742,848.5354333333332,86.11263333333332,762.4227999999999,0.0,0.0,0.0,10800.0,10800.0,818.99457176
108,18:00,1.2313,701.4281333333333,64.44551666666666,636.9826166666667,0.0,0.0,0.0,10800.0,10800.0,784.3166959016667
109,18:10,1.2561,687.1268499999999,45.96554999999999,101.16129999999987,0.0,540.0,0.0,10800.0,10200.0,127.06870892999983
110,18:20,1.2447,709.3226333333333,30.492099999999997,678.8305333333333,0.0,0.0,0.0,10200.0,10200.0,844.9403648399999
111,18:30,1.2545,704.3254,18.0569,686.2684999999999,0.0,0.0,0.0,10200.0,10200.0,860.9238332499998
112,18:40,1.2522,705.5563999999999,9.052016666666667,696.5043833333333,0.0,0.0,0.0,10200.0,10200.0,872.1627888099999
113,18:50,1.2881,707.7437499999999,3.1094833333333334,29.634266666666576,0.0,675.0,0.0,10200.0,9450.0,38.171898893333214
114,19:00,1.3466,706.5299166666666,0.04588333333333333,31.484033333333286,0.0,675.0,0.0,9450.0,8700.0,42.39639928666661
115,19:10,1.3523,707.4447333333333,0.038266666666666664,32.406466666666574,0.0,675.0,0.0,8700.0,7950.0,43.82326487333321
116,19:20,1.3445,708.6531166666666,0.10011666666666666,33.553,0.0,675.0,0.0,7950.0,7200.0,45.112008499999995
117,19:30,1.3483,709.4468833333333,0.0,34.44688333333329,0.0,675.0,0.0,7200.0,6450.0,46.44473279833328
118,19:40,1.349,711.23245,0.0,36.23244999999997,0.0,675.0,0.0,6450.0,5700.0,48.87757504999996
119,19:50,1.3473,711.6625,0.0,36.66250000000002,0.0,675.0,0.0,5700.0,4950.0,49.39538625000003
120,20:00,1.3482,711.4450333333332,0.0,36.445033333333186,0.0,675.0,0.0,4950.0,4200.0,49.1351939399998
121,20:10,1.3513,713.7040833333333,0.0,38.7040833333333,0.0,675.0,0.0,4200.0,3450.0,52.30082780833329
122,20:20,1.34,715.28415,0.0,40.284149999999954,0.0,675.0,0.0,3450.0,2700.0,53.980760999999944
123,20:30,1.3489,715.22685,0.0,40.22685000000001,0.0,675.0,0.0,2700.0,1950.0,54.26199796500002
124,20:40,1.3952,715.6530333333333,0.0,40.65303333333327,0.0,675.0,0.0,1950.0,1200.0,56.71911210666658
125,20:50,1.2226,715.8689166666666,0.0,715.8689166666666,0.0,0.0,0.0,1200.0,1200.0,875.2213375166665
126,21:00,0.9332,717.0051166666667,0.0,717.0051166666667,0.0,0.0,0.0,1200.0,1200.0,669.1091748733334
127,21:10,0.9068,720.1603,0.0,720.1603,0.0,0.0,0.0,1200.0,1200.0,653.0413600400001
128,21:20,0.9371,717.0548666666666,0.0,717.0548666666666,0.0,0.0,0.0,1200.0,1200.0,671.9521155533333
129,21:30,0.9371,720.4459666666667,0.0,720.4459666666667,0.0,0.0,0.0,1200.0,1200.0,675.1299153633333
130,21:40,0.9871,738.1347166666666,0.0,738.1347166666666,0.0,0.0,0.0,1200.0,1200.0,728.6127788216666
131,21:50,0.7764,671.6935666666666,0.0,671.6935666666666,0.0,0.0,0.0,1200.0,1200.0,521.5028851599999
132,22:00,0.4209,560.4569833333333,0.0,1393.7903166666665,833.3333333333333,0.0,0.0,1200.0,1950.0,586.6463442849999
133,22:10,0.3859,551.5655666666667,0.0,1384.8989,833.3333333333333,0.0,0.0,1950.0,2700.0,534.43248551
134,22:20,0.4368,568.8260499999999,0.0,568.8260499999999,0.0,0.0,0.0,2700.0,2700.0,248.46321863999998
135,22:30,0.4198,563.6552166666667,0.0,1396.98855,833.3333333333333,0.0,1.1368683772161603e-13,2700.0,3450.0,586.45579329
136,22:40,0.4186,564.4265333333333,0.0,1397.7598666666665,833.3333333333333,0.0,0.0,3450.0,4200.0,585.1022801866667
137,22:50,0.4241,566.7474333333332,0.0,566.7474333333332,0.0,0.0,0.0,4200.0,4200.0,240.3575864766666
138,23:00,0.4237,566.5404333333333,0.0,1399.8737666666666,833.3333333333333,0.0,0.0,4200.0,4950.0,593.1265149366667
139,23:10,0.4248,567.83015,0.0,567.83015,0.0,0.0,0.0,4950.0,4950.0,241.21424772
140,23:20,0.424,569.3586333333333,0.0,569.3586333333333,0.0,0.0,0.0,4950.0,4950.0,241.4080605333333
141,23:30,0.422,570.3301833333333,0.0,1403.6635166666665,833.3333333333333,0.0,0.0,4950.0,5700.0,592.3460040333332
142,23:40,0.424,571.6153833333333,0.0,904.9487166666665,333.3333333333333,0.0,0.0,5700.0,6000.0,383.6982558666666
143,23:50,0.4271,573.1768333333333,0.0,573.1768333333333,0.0,0.0,0.0,6000.0,6000.0,244.80382551666665
144,0:00+1,0.4276,574.1209833333332,0.0,574.1209833333332,0.0,0.0,0.0,6000.0,6000.0,245.49413247333328
